217|源代码|3075287|8.3|2011|0 9|0 3 6 10 11
218|我们俩|1756073|8.6|2005|1|0
219|不一样的天空|1301617|8.6|1993|0|0 1 9
220|再见列宁|1292055|8.7|2003|6|0 9
221|导盲犬小Q|1316572|8.4|2004|7|0
222|荒岛余生|1298653|8.4|2000|0|0 4
223|牯岭街少年杀人事件|1292329|8.6|1991|9|0 3
224|国王的演讲|4023638|8.3|2010|0 4 9|0 13
225|血钻|1428175|8.4|2006|0 6|0 4
226|角斗士|1293530|8.4|2000|0 4|0 4 6 13
227|寿司之神|6146955|8.8|2011|0|13
228|我在伊朗长大|1962116|8.7|2007|0 5|0 7 12 13
229|莫扎特传|1293399|8.6|1984|0|0 13
230|疯狂约会美丽都|1291565|8.8|2003|4 5 9|2 7
231|月球|3073124|8.5|2009|4|0 8 11
232|大卫·戈尔的一生|1305725|8.7|2003|0 4 6|0 3 8
233|廊桥遗梦|1293929|8.5|1995|0|0 1
234|恐怖直播|21360417|8.7|2013|9|0 3 8
235|伴我同行|1292925|8.9|1986|0|0 4 13
236|八月迷情|1844413|8.3|2007|0|0 1 13
237|洛城机密|1292348|8.6|1997|0|0 3 8 10
238|未麻的部屋|1395091|8.7|1997|7|5 7 10
239|我爱你|5908478|9.0|2011|9|0 1
240|无敌破坏王|6534248|8.7|2012|0|2 4 7
241|假如爱有天意|1304073|8.2|2003|9|0 1
242|刺猬的优雅|3824274|8.8|2009|2 5|0
243|帝企鹅日记|1369747|8.5|2005|5|13
244|蓝白红三部曲之红|1292047|8.7|1994|5 9|0 1
245|黑鹰坠落|1291824|8.4|2002|0|6 12 13
246|千钧一发|1300117|8.7|1997|0|0 1 10 11
247|她比烟花寂寞|1293708|8.4|1998|4|0 13
248|枪火|1300741|8.5|1999|3|0 3 6
249|疯狂的石头|1862151|8.1|2006|1 3|2 3
250|茜茜公主|1304056|8.5|1955|9|0 1 2 13
